trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-50.59319206075067,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-109.4498338539632,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-180.57281970447175,"{0: 14, 1: 4, 2: 10, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-46.744885164542836,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-107.86054215747652,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-75.10052670216407,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-100.6681571713072,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-121.45876180353488,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-42.080815176597575,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-103.06462171851841,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,6,9.543403282010168,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-63.89269110476441,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,4.776735450619137,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,-43.761838952634555,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-90.76230936079082,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,19,19.020332717450096,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,7.063597847104663,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,3,10.601645747466184,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,24,21.308759789617614,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,18.165141021739043,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-4.5271839466802435,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-3.33968468174824,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",35,17,22.34188696535567,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,8,-65.35663293954424,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,3,-15.822383466744402,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,7,-4.695649588679586,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-110.45791180952389,"{0: 18, 1: 1, 2: 1, 3: 4, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-68.62556757769418,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,2,-116.97250446979886,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 2}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,22,17.731714510144215,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
