trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0005, 'e': 0.9995001249791693}",25,0,-190.01248801825676,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.0005, 'e': 0.999000499833375}",20,0,-123.9739904535662,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.0005, 'e': 0.9985011244377109}",25,17,-11.413496331251425,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.0005, 'e': 0.9980019986673331}",20,0,-43.98428673646251,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.0005, 'e': 0.9975031223974602}",35,0,-257.1161189803916,"{0: 17, 1: 4, 2: 8, 3: 3, 4: 3}",0
6,False,"{'a': 0.0005, 'e': 0.9970044955033731}",30,0,-85.8858110719038,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.0005, 'e': 0.9965061178604151}",25,0,-57.95638215432316,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.0005, 'e': 0.9960079893439917}",25,0,-159.0628547315102,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.0005, 'e': 0.9955101098295708}",30,0,-104.96418870004729,"{0: 22, 1: 4, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.0005, 'e': 0.9950124791926825}",25,0,-106.36079829687552,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.0005, 'e': 0.9945150973089193}",25,6,-110.41623268605922,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
12,False,"{'a': 0.0005, 'e': 0.9940179640539355}",30,0,-199.32743999237456,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
13,False,"{'a': 0.0005, 'e': 0.9935210793034479}",20,6,-137.6387964672236,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 3}",1
14,False,"{'a': 0.0005, 'e': 0.9930244429332353}",20,4,-96.43433292542932,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.0005, 'e': 0.9925280548191386}",20,0,-124.73917505595188,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
16,False,"{'a': 0.0005, 'e': 0.9920319148370609}",20,0,-154.37899762578013,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.0005, 'e': 0.9915360228629669}",30,0,-117.56958657449616,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.0005, 'e': 0.9910403787728839}",20,0,-120.7872851920893,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.0005, 'e': 0.9905449824429007}",20,0,-201.2421876688716,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
20,False,"{'a': 0.0005, 'e': 0.9900498337491683}",25,0,-84.37907419681143,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.0005, 'e': 0.9895549325678995}",25,0,-79.55957921925909,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
22,False,"{'a': 0.0005, 'e': 0.989060278775369}",25,0,-111.61038825030256,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.0005, 'e': 0.9885658722479133}",20,0,-189.8150322024985,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
24,False,"{'a': 0.0005, 'e': 0.9880717128619309}",20,11,-58.20429138692906,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.0005, 'e': 0.9875778004938818}",20,0,-35.80061680064006,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.0005, 'e': 0.9870841350202879}",20,0,-112.501196387296,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.0005, 'e': 0.986590716317733}",20,0,3.6508764133827674,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.0005, 'e': 0.9860975442628622}",25,0,-108.59684895619746,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.0005, 'e': 0.9856046187323827}",25,0,-138.11336398420985,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
30,False,"{'a': 0.0005, 'e': 0.985111939603063}",30,0,-182.48430812317173,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
31,False,"{'a': 0.0005, 'e': 0.9846195067517333}",30,0,-187.35243208280787,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
32,False,"{'a': 0.0005, 'e': 0.9841273200552855}",25,0,-124.17429650267796,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
33,False,"{'a': 0.0005, 'e': 0.9836353793906728}",20,0,-80.54752473535078,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.0005, 'e': 0.9831436846349101}",20,0,-129.64066886207016,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.0005, 'e': 0.9826522356650736}",25,0,-84.94755008929731,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.0005, 'e': 0.9821610323583012}",25,0,-134.76005496141926,"{0: 10, 1: 6, 2: 6, 3: 3, 4: 0}",0
37,False,"{'a': 0.0005, 'e': 0.981670074591792}",20,0,-54.8542747384331,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.0005, 'e': 0.9811793622428066}",20,0,-149.53312937449465,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
39,False,"{'a': 0.0005, 'e': 0.9806888951886668}",30,0,-278.13151691616156,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 5}",0
40,False,"{'a': 0.0005, 'e': 0.9801986733067559}",25,0,-118.78372102961472,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.0005, 'e': 0.9797086964745185}",20,0,-76.0531663354906,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.0005, 'e': 0.9792189645694603}",20,8,-71.21180918027387,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
43,False,"{'a': 0.0005, 'e': 0.9787294774691484}",25,0,-144.35112049998614,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
44,False,"{'a': 0.0005, 'e': 0.9782402350512108}",30,0,-171.28189267018075,"{0: 17, 1: 2, 2: 6, 3: 4, 4: 1}",0
45,False,"{'a': 0.0005, 'e': 0.9777512371933371}",20,0,-132.41280971314117,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
